variant_id,base_plant_id,norsk_navn,engelsk_navn,variant_type,heat_tolerant,cool_tolerant,drought_sensitive,crack_sensitive,humidity_sensitive,delta_lufttemp_akseptabel_min_c,delta_lufttemp_akseptabel_max_c,delta_jordfukt_optimal_min_pct,delta_jordfukt_optimal_max_pct,delta_luftfukt_akseptabel_max_pct,delta_lys_optimal_min_lux,delta_lys_optimal_max_lux,notes
tomato_cherry,tomato,cherrytomat,cherry tomato,"små frukter, klaser",True,False,True,True,True,0,2,0,0,0,0,5000,"Kompakte planter med mange små frukter; tåler ofte litt høyere varme men er følsom for ujevn vanning (sprekk)."
tomato_beefsteak,tomato,bifftomat,beefsteak tomato,"store frukter",False,False,True,True,True,0,0,5,5,-5,0,0,"Store frukter krever jevn fukt og god lufting for å unngå sprekk og gråmugg."
tomato_plum,tomato,plommetomat,plum/roma tomato,"avling/sause",True,False,True,True,True,0,1,0,0,-5,0,0,"Ofte dyrket for saus; tåler varme, men krever jevn vanning for å unngå sprekking."
tomato_standard,tomato,vanlig tomat,standard tomato,"middels store frukter",False,False,True,True,True,0,0,0,0,0,0,0,"Standard tomatprofil; følger baseverdiene uten særlige avvik."
pepper_sweet,pepper,blokkpaprika,sweet bell pepper,"store søte frukter",False,False,True,True,True,0,0,5,5,-5,0,0,"Store frukter, noe mer følsom for ujevn fukt og høy luftfukt enn små paprika."
pepper_hot,chili,chilipepper,hot pepper,"sterke frukter",True,False,True,False,True,0,2,-5,-5,-5,0,5000,"Tåler ofte litt høyere varme og litt tørrere jord, men er følsom for høy luftfukt og stillestående luft."
cucumber_slicing,cucumber,salatagurk,slicing cucumber,"lange frukter",False,False,True,False,True,0,0,5,5,0,0,0,"Klassisk drivhusagurk med høyt vann- og fuktbehov."
cucumber_snack,cucumber,snackagurk,mini/snack cucumber,"små frukter",True,False,True,False,True,1,1,0,0,0,0,5000,"Kompakte planter, tåler litt høyere varme og lys, men krever fortsatt høy jordfukt."
lettuce_head,lettuce,hodesalat,head lettuce,"kompakte hoder",False,True,True,False,True,-2,-2,0,0,5,0,-3000,"Trives best kjølig; går lett i stokk ved høy varme og tørke."
lettuce_leaf,lettuce,plukksalat,leaf lettuce,"løse blader",True,True,True,False,True,0,2,0,0,0,0,0,"Tåler ofte litt mer varme og høsting over tid enn hodesalat."
lettuce_romaine,lettuce,romanosalat,romaine lettuce,"avlange hoder",True,True,True,False,True,0,1,0,0,0,0,3000,"Tåler ofte litt mer varme og lys enn hodesalat, men liker fortsatt jevn fukt."
basil_genovese,basil,basilikum Genovese,Genovese basil,"klassisk storbladet",True,False,True,False,True,0,1,0,0,0,0,0,"Trenger varme, lys og jevn fukt; svært kuldefølsom."
basil_lemon,basil,sitronbasilikum,lemon basil,"aromatisk, tynnere blader",True,False,True,False,True,0,1,-5,-5,-5,0,5000,"Tåler ofte litt tørrere jord og mer lys enn storbladet basilikum."
mint_strong,mint,sterk mynte,strong mint type,"kraftig vekst",True,True,True,False,True,0,1,0,0,0,0,0,"Kraftigvoksende mynte; tåler mye klipping, men ikke uttørking."
rosemary_upright,rosemary,oppreist rosmarin,upright rosemary,buskform,True,False,False,False,True,0,2,-5,-5,-5,0,5000,"Tåler mye varme og tørke, men reagerer raskt på for våt jord."
lavender_compact,lavender,kompakt lavendel,compact lavender,"lav og tett vekst",True,False,False,False,True,0,2,-5,-5,-5,0,5000,"God i potter; krever svært god drenering og mye lys."
strawberry_june,strawberry,sommerbærende jordbær,June-bearing strawberry,"en hovedavling",False,True,True,False,True,-2,-2,0,0,5,0,-3000,"Klassiske sorter med én hovedavling; foretrekker kjøligere klima."
strawberry_everbearing,strawberry,remonterende jordbær,everbearing strawberry,"bærer gjennom sesongen",True,False,True,False,True,0,1,0,0,-5,0,5000,"Bærer lenge; tåler ofte mer varme og lys, men krever jevn fukt for fin bærkvalitet."
